Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Screen,Situation,Origin,Oddman,G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,ShooterPlayerId,A1PlayerId,A2PlayerId,A3PlayerId
1,15:45,5v5,EDM,71.0,W,97.0,5.0,25.0,ol,dr,dl,,,,r,dz,,,0,41,21006,3/6/2023,BUF,EDM,8480802,8478402.0,8471816.0,8476495.0
1,15:29,5v5,BUF,72.0,W,53.0,,,oell,,,,,,f,oz,,,0,74,21006,3/6/2023,BUF,EDM,8479420,8475784.0,,
1,15:25,5v5,BUF,53.0,w,72.0,,,ol,,,,,,f,oz,,,0,74,21006,3/6/2023,BUF,EDM,8475784,8479420.0,,
1,14:58,5v5,BUF,24.0,w,29.0,26.0,,orrr,dr,,y,y,,r,dz,2 on 1,,0,74,21006,3/6/2023,BUF,EDM,8469820,8469506.0,8480839.0,
1,14:47,5v5,BUF,24.0,w,46.0,,,or,,,,y,,,,,,0,74,21006,3/6/2023,BUF,EDM,8469820,8477974.0,,
1,14:44,5v5,BUF,37.0,w,24.0,,,ol,,,y,y,,f,oz,,,0,74,21006,3/6/2023,BUF,EDM,8478043,8469820.0,,
1,14:34,5v5,EDM,56.0,w,2.0,,,dc,,,Y,y,,r,dz,1 on 0,,0,41,21006,3/6/2023,BUF,EDM,8474719,8477384.0,,
1,14:21,5v5,EDM,27.0,O,14.0,56.0,,or,opr,,,y,,c,oz,,,0,41,21006,3/6/2023,BUF,EDM,8476850,8475218.0,8474719.0,
1,14:05,5v5,BUF,12.0,W,10.0,38.0,,dr,dl,,,Y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8478413,8473534.0,8474743.0,
1,13:57,5v5,EDM,27.0,B,26.0,,,dr,,,,y,,r,dz,,,0,41,21006,3/6/2023,BUF,EDM,8476850,8476336.0,,
1,13:50,5v5,EDM,73.0,w,37.0,,,oelpr,,,,,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8477454,8471402.0,,
1,13:10,5v5,EDM,10.0,O,19.0,,,oelr,,,y,y,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8481638,8475156.0,,
1,12:51,5v5,EDM,5.0,w,,,,,,,,,,,,,,0,41,21006,3/6/2023,BUF,EDM,8471816,,,
1,12:41,5v5,EDM,71.0,O,97.0,71.0,,ol,ol,,y,y,Y,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8480802,8478402.0,8480802.0,
